;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;w;w;w;w;w;w;w;w;w;w;w;28;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;29;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;;;;;;;
;;;;;;;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;w;;;;;;;;;;;w;;;;;;;
;;;;;;;w;;;;09;;;08;;;;;07;;;06;;;;;w;;;;;;;;;;;w;30;;;;;;
;;;;;11;w;w;;;;;;;;;;;;;;;;;;;;w;27;;;;;;;;;;w;;;;;;;
;;;;;;;10;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;31;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;w;32;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;w;w;w;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;01;;w;04;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;w;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;exit;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
